ID,Star,Review
1,4,"I love flo so much. It's been the only tracker to adapt to an irregular period cycle right away, which has been such a big help to me. I love all the chats with others going through similar things and I love that I'm able to share it all with my boyfriend on his phone. it makes our lives easier. however, I really wish it had a way to track how different birth controls are affecting you and track insertion dates for non pill options, and maybe a reminder when to book that Dr visit."
2,1,"Downloaded the app, only to be asked 3 million questions (some that had nothing to do with tracking ovulation), and then had to press some button on the screen for several seconds to ""commit"" to the app (super corny and annoying), only to then be told I had to pay yearly or monthly. The process is very tedious and frustrating. It doesn't matter what you click on on the app, if you haven't paid, you can't read anything. Frustrating and annoying experience. Uninstalling."
3,4,"Incredibly useful for tracking periods, as it adjusts to changes. I wish we could turn off, or skip parts of, the bot chat stuff. Its programming/information is too general and ultimately restrictive. I also would like more symptom options, even just an add your own that you can select again as needed. Thanks for the app!"
4,2,"I've had this app for about 5 years and really just used it to track my periods, which it is decent for. But over time, more and more features have been locked behind a paywall and I got very annoyed at the pop-ups telling me to buy a plan. The final straw was a bug that kept putting my symptoms on one day and my flow on the next, despite logging both on the same day. I just don't see the point in continuing to use an annoying and buggy app. I plan on tracking my periods on paper now."
5,1,"The only reason I still use this app is because it's been my tracking app for the last 8 years now. They keep taking away free features and making them only available with the paid subscription. I'm now pregnant again for the third time and now it won't even tell me anything other than how far along I am. Any insight it offers is no longer free! I have a feeling soon it won't even be free to use it at all. I would switch if it were easy to export my data into another app, but it's not."
6,2,"I loved this app, it was accurate and it allowed me to track my periods as well as my ovulation dates AND allowed me to monitor any abnormalities and as someone who has always had very irregular periods it was great. However now they want me to pay for all the things that made it great and I can no longer monitor for any issues like I used to without paying?! As women we are already nickel and dimed for items like pads and I might as well just go back to using a calendar if all I get is tracking"
7,2,"Some of the couples quizzes and information are kinda nice but as a period tracker couple sharing app it's terrible. She puts all her information in in detail and I get practically none of that information on my side even though that was our intention. There is no setting to change it either, it's locked away. I would understand if it was a privacy thing for some couples but it should be an option in her settings not locked away for everyone."
8,1,"Great for period tracking. Before pregnancy 5 star. Postpartum, more like a 1 star app. Now it seems the app is struggling. The calendar knows I was pregnant but does not take into account postpartum or breastfeeding. Just wish there was an option to put in breastfeeding and postpartum, so it's not constantly trying to tell me something is wrong with my cycle."
9,2,"It's nice to be able to track my period but instead of grabbing a pen and paper to do that I downloaded this because with how much is in the app I thought there would be more for free then just a period calendar. I expected understand and insights, and yet everything little thing I clicked on I had to pay for. The thing is, is that I would have paid for it if there was a bit more for free. This app wasn't created to help it was created for self purposes. nothing on here to help is for free."
10,3,"I've been using Flo for 5+ years, and it has been mostly great. Flo can predict my period often down to the day, and is helpful for tracking ovulation. Unfortunately in more recent years, they have progressively gotten rid of a lot of the free features that used to be included (such as evaluation chats, and articles), that now you have to pay for premium to use. It feels like everything that would be helpful to use to learn more about your cycle, they want you to have premium to access."
11,2,I wanna give it more stars become it is the best when it comes to tracking and getting tips and tricks for anything but I'm saying two stars because you only have access to like two things unless you pay. it's ridiculously expensive. why the heck do we have to pay for a pregnancy tracker or a health tracker in general. if we need the help and guidance it should be free our health shouldn't come with a cost. it's literally useless app without premium. please do something I loved this app
12,3,"I used to really like the app because for the free verison, yoi still got some knowledge about things you log or when you're pregnant, really helpful info about the baby as it grows. I got a new phone and couldn't access my account wasn't a big deal, bc I just made a new one, but now I cant acces I was able b4 other than logging my symptoms or settings. I can't look pretty much anything on the app bc it just puts me on page to buy the premium option. Im even locked out from the calendar."
13,3,"overall balanced app. 1 big nit pick is how you enter your weight. maybe some find having to spin and spin the weight wheele pleasing, I do not. if you could just tap and enter it like most other apps I would be more inclined to increase the rating. the other thing I noticed is that the overall design is simple but almost lacks in esthetic. back ground options, better/ more intricate designs. something of that nature would be awesome. these 2 things would add a star each in my opinion."
14,2,"it used to be a great app for tracking my period. once I paid for premium all it does is send me ads to renew which is so annoying. Whenever the app has a glitch and I have to reinstall it, it takes 15 mins to skip all of the questions,log back into my account. All of the information it had about pregnancy was inaccurate. The estimated sizes didn't match anything that I sourced from other sites, plus considering I was paying a premium for the feature the BUMP was free, accurate with 3D images."
15,4,"Overall great experience with this app. There are a few selections I'd love to see added. I had to stop birth control (after 16 years) for health reasons, and I wanted to keep track of my cycle as my body regulated, and so I could reduce my chances of getting pregnant, but that's not an option when asked why I got the app. I also use this as a mood/general well-being tracker, and noting how much quality sleep I got the night before would be super helpful to spot patterns there."
16,1,"This app is seriously one of those that are only out there for whatever they can get from whatever sucker is naive enough to sign up for my free trial. Most apps/companies have no problem refunding you- especially if it's within 5 minutes of being charged and reaching out to their customer service. They charged me at midnight, hoping I would not see, but I did. I find their services useless, that's why I deleted it a day after I downloaded it, I just forgot to cancel my subscription. 🚫❌🚫"
17,1,"I answered a million questions only to be told I had to pay a subscription for the data analysis. I declined and then got a message saying ""befire you start, we have a gift for you"". I clicked on it to find out that it was just a discounted yearly subscription. Even though I had not gotten a subscription, there was a box on my home page saying ""today's chance of pregnancy"" with a tick underneath but when I clicked, I was taken to the page of different subscriptions."
18,2,I had this app years ago and loved it so decided to download it again a couple of months ago. I'm disappointed in the amount of times I'm being asked to pay for a subscription. I used this app before with very minimal ads and there was no pressure to pay for premium. And now I can't escape the pop-ups multiple times just by opening the app I find myself just ignoring it and not actually using it because you're constantly being pushed to buy l.
19,1,dislike it. you have to subscribe and pay to view the simplest things on the app. not worth it unless you pay. the max you can do there is just tract your cycle. you can't use anything else mor read anything on there unless you pay. get another app that can help you and an app where you can do much more. this is not worth it. if you don't want to pay every month. and it's pretty expensive too when other apps offer so much more without paying.
20,1,"Edit 2025: my last review was complaining about the constant pop-ups and chats, that would only be useful if I paid for premium. I don't need them, anyway. Recently I got a new phone, and all of my tracking data for the last 2 years disappeared. So, I'm starting from scratch. I only need this to track my phases, which it can barely do, apparently. Will probably just transition to my Fitbit app exclusively, since it still has all my data from 2018 no problem."
21,4,"I love flo so much. It's been the only tracker to adapt to an irregular period cycle right away, which has been such a big help to me. I love all the chats with others going through similar things and I love that I'm able to share it all with my boyfriend on his phone. it makes our lives easier. however, I really wish it had a way to track how different birth controls are affecting you and track insertion dates for non pill options, and maybe a reminder when to book that Dr visit."
22,1,"Downloaded the app, only to be asked 3 million questions (some that had nothing to do with tracking ovulation), and then had to press some button on the screen for several seconds to ""commit"" to the app (super corny and annoying), only to then be told I had to pay yearly or monthly. The process is very tedious and frustrating. It doesn't matter what you click on on the app, if you haven't paid, you can't read anything. Frustrating and annoying experience. Uninstalling."
23,4,"Incredibly useful for tracking periods, as it adjusts to changes. I wish we could turn off, or skip parts of, the bot chat stuff. Its programming/information is too general and ultimately restrictive. I also would like more symptom options, even just an add your own that you can select again as needed. Thanks for the app!"
24,2,"I've had this app for about 5 years and really just used it to track my periods, which it is decent for. But over time, more and more features have been locked behind a paywall and I got very annoyed at the pop-ups telling me to buy a plan. The final straw was a bug that kept putting my symptoms on one day and my flow on the next, despite logging both on the same day. I just don't see the point in continuing to use an annoying and buggy app. I plan on tracking my periods on paper now."
25,1,"The only reason I still use this app is because it's been my tracking app for the last 8 years now. They keep taking away free features and making them only available with the paid subscription. I'm now pregnant again for the third time and now it won't even tell me anything other than how far along I am. Any insight it offers is no longer free! I have a feeling soon it won't even be free to use it at all. I would switch if it were easy to export my data into another app, but it's not."
26,2,"I loved this app, it was accurate and it allowed me to track my periods as well as my ovulation dates AND allowed me to monitor any abnormalities and as someone who has always had very irregular periods it was great. However now they want me to pay for all the things that made it great and I can no longer monitor for any issues like I used to without paying?! As women we are already nickel and dimed for items like pads and I might as well just go back to using a calendar if all I get is tracking"
27,2,"Some of the couples quizzes and information are kinda nice but as a period tracker couple sharing app it's terrible. She puts all her information in in detail and I get practically none of that information on my side even though that was our intention. There is no setting to change it either, it's locked away. I would understand if it was a privacy thing for some couples but it should be an option in her settings not locked away for everyone."
28,1,"Great for period tracking. Before pregnancy 5 star. Postpartum, more like a 1 star app. Now it seems the app is struggling. The calendar knows I was pregnant but does not take into account postpartum or breastfeeding. Just wish there was an option to put in breastfeeding and postpartum, so it's not constantly trying to tell me something is wrong with my cycle."
29,2,"It's nice to be able to track my period but instead of grabbing a pen and paper to do that I downloaded this because with how much is in the app I thought there would be more for free then just a period calendar. I expected understand and insights, and yet everything little thing I clicked on I had to pay for. The thing is, is that I would have paid for it if there was a bit more for free. This app wasn't created to help it was created for self purposes. nothing on here to help is for free."
30,3,"I've been using Flo for 5+ years, and it has been mostly great. Flo can predict my period often down to the day, and is helpful for tracking ovulation. Unfortunately in more recent years, they have progressively gotten rid of a lot of the free features that used to be included (such as evaluation chats, and articles), that now you have to pay for premium to use. It feels like everything that would be helpful to use to learn more about your cycle, they want you to have premium to access."
31,2,I wanna give it more stars become it is the best when it comes to tracking and getting tips and tricks for anything but I'm saying two stars because you only have access to like two things unless you pay. it's ridiculously expensive. why the heck do we have to pay for a pregnancy tracker or a health tracker in general. if we need the help and guidance it should be free our health shouldn't come with a cost. it's literally useless app without premium. please do something I loved this app
32,3,"I used to really like the app because for the free verison, yoi still got some knowledge about things you log or when you're pregnant, really helpful info about the baby as it grows. I got a new phone and couldn't access my account wasn't a big deal, bc I just made a new one, but now I cant acces I was able b4 other than logging my symptoms or settings. I can't look pretty much anything on the app bc it just puts me on page to buy the premium option. Im even locked out from the calendar."
33,3,"overall balanced app. 1 big nit pick is how you enter your weight. maybe some find having to spin and spin the weight wheele pleasing, I do not. if you could just tap and enter it like most other apps I would be more inclined to increase the rating. the other thing I noticed is that the overall design is simple but almost lacks in esthetic. back ground options, better/ more intricate designs. something of that nature would be awesome. these 2 things would add a star each in my opinion."
34,2,"it used to be a great app for tracking my period. once I paid for premium all it does is send me ads to renew which is so annoying. Whenever the app has a glitch and I have to reinstall it, it takes 15 mins to skip all of the questions,log back into my account. All of the information it had about pregnancy was inaccurate. The estimated sizes didn't match anything that I sourced from other sites, plus considering I was paying a premium for the feature the BUMP was free, accurate with 3D images."
35,4,"Overall great experience with this app. There are a few selections I'd love to see added. I had to stop birth control (after 16 years) for health reasons, and I wanted to keep track of my cycle as my body regulated, and so I could reduce my chances of getting pregnant, but that's not an option when asked why I got the app. I also use this as a mood/general well-being tracker, and noting how much quality sleep I got the night before would be super helpful to spot patterns there."
36,1,"This app is seriously one of those that are only out there for whatever they can get from whatever sucker is naive enough to sign up for my free trial. Most apps/companies have no problem refunding you- especially if it's within 5 minutes of being charged and reaching out to their customer service. They charged me at midnight, hoping I would not see, but I did. I find their services useless, that's why I deleted it a day after I downloaded it, I just forgot to cancel my subscription. 🚫❌🚫"
37,1,"I answered a million questions only to be told I had to pay a subscription for the data analysis. I declined and then got a message saying ""befire you start, we have a gift for you"". I clicked on it to find out that it was just a discounted yearly subscription. Even though I had not gotten a subscription, there was a box on my home page saying ""today's chance of pregnancy"" with a tick underneath but when I clicked, I was taken to the page of different subscriptions."
38,2,I had this app years ago and loved it so decided to download it again a couple of months ago. I'm disappointed in the amount of times I'm being asked to pay for a subscription. I used this app before with very minimal ads and there was no pressure to pay for premium. And now I can't escape the pop-ups multiple times just by opening the app I find myself just ignoring it and not actually using it because you're constantly being pushed to buy l.
39,1,dislike it. you have to subscribe and pay to view the simplest things on the app. not worth it unless you pay. the max you can do there is just tract your cycle. you can't use anything else mor read anything on there unless you pay. get another app that can help you and an app where you can do much more. this is not worth it. if you don't want to pay every month. and it's pretty expensive too when other apps offer so much more without paying.
40,1,"Edit 2025: my last review was complaining about the constant pop-ups and chats, that would only be useful if I paid for premium. I don't need them, anyway. Recently I got a new phone, and all of my tracking data for the last 2 years disappeared. So, I'm starting from scratch. I only need this to track my phases, which it can barely do, apparently. Will probably just transition to my Fitbit app exclusively, since it still has all my data from 2018 no problem."
41,4,"I love flo so much. It's been the only tracker to adapt to an irregular period cycle right away, which has been such a big help to me. I love all the chats with others going through similar things and I love that I'm able to share it all with my boyfriend on his phone. it makes our lives easier. however, I really wish it had a way to track how different birth controls are affecting you and track insertion dates for non pill options, and maybe a reminder when to book that Dr visit."
